xsp,ylp,metric
1000,10,1.25
1100,10,1.42
1200,10,1.57
1300,10,1.72
1400,10,1.89
1500,10,2.21
1600,10,2.35
1800,10,2.56
1700,10,2.60
1900,10,2.84
2000,10,3.09
2100,10,3.23
1000,20,1.69
1100,20,1.87
1200,20,2.07
1300,20,2.28
1400,20,2.46
1500,20,2.81
1600,20,3.03
1700,20,3.43
1800,20,3.79
2100,20,4.12
2000,20,4.35
1900,20,4.63
1000,30,2.10
1100,30,2.32
1200,30,2.58
1300,30,2.86
1400,30,3.03
1500,30,3.33
1600,30,3.67
1700,30,3.92
1800,30,4.72
2100,30,4.86
1900,30,5.15
2000,30,5.15
1000,40,2.52
1100,40,2.80
1200,40,3.12
1300,40,3.38
1400,40,3.67
1500,40,3.92
1600,40,4.26
1700,40,4.59
1800,40,5.30
1900,40,5.45
2000,40,5.95
2100,40,6.65
1000,50,2.98
1100,50,3.26
1200,50,3.65
1300,50,3.98
1400,50,4.27
1500,50,4.51
1600,50,4.90
1700,50,5.25
1800,50,5.73
1900,50,5.94
2000,50,6.39
2100,50,6.89
1000,60,3.46
1100,60,3.75
1200,60,4.22
1300,60,4.51
1400,60,4.76
1500,60,5.14
1600,60,5.50
1700,60,5.83
1800,60,6.31
1900,60,6.61
2000,60,7.30
2100,60,7.30
1000,70,3.91
1100,70,4.22
1200,70,4.72
1300,70,5.05
1400,70,5.40
1500,70,5.73
1600,70,6.06
1700,70,6.65
1800,70,7.10
1900,70,7.40
2100,70,8.03
2000,70,8.08
1000,80,4.34
1100,80,4.76
1200,80,5.34
1300,80,5.69
1400,80,6.08
1500,80,6.38
1600,80,6.78
1700,80,7.44
1800,80,7.83
1900,80,8.14
2000,80,8.83
2100,80,9.00
1000,90,4.90
1100,90,5.33
1200,90,5.96
1300,90,6.50
1400,90,6.71
1500,90,7.03
1600,90,7.51
1700,90,8.10
1800,90,8.68
1900,90,9.02
2000,90,9.52
2100,90,10.07
1000,100,5.53
1100,100,6.00
1200,100,6.57
1300,100,7.06
1400,100,7.42
1500,100,7.76
1600,100,8.35
1700,100,8.96
1800,100,9.43
1900,100,9.86
2000,100,10.65
2100,100,10.80

