xsp,ylp,metric
2100,100,190.5
2100,90,197.4
2100,80,198.4
2100,70,202.4
2100,60,214.5
2100,50,242.9
2100,40,293.1
2100,30,285.8
2100,20,363.6
2100,10,570.4
2000,100,188.5
2000,90,187.2
2000,80,195.3
2000,70,204.2
2000,60,215.4
2000,50,226.1
2000,40,263.5
2000,30,303.7
2000,20,384.8
2000,10,546.2
1900,100,180.9
1900,90,183.9
1900,80,186.8
1900,70,194.0
1900,60,202.2
1900,50,217.9
1900,40,249.9
1900,30,315.2
1900,20,425.4
1900,10,521.7
1800,100,178.3
1800,90,182.3
1800,80,185.1
1800,70,191.7
1800,60,198.9
1800,50,216.8
1800,40,250.4
1800,30,297.5
1800,20,358.7
1800,10,483.9
1700,100,177.6
1700,90,178.3
1700,80,184.4
1700,70,188.2
1700,60,192.7
1700,50,208.0
1700,40,227.6
1700,30,259.3
1700,20,340.3
1700,10,515.6
1600,100,177.2
1600,90,177.0
1600,80,180.0
1600,70,183.7
1600,60,194.6
1600,50,208.0
1600,40,225.9
1600,30,260.0
1600,20,321.6
1600,10,498.8
1500,100,173.9
1500,90,174.9
1500,80,178.7
1500,70,183.4
1500,60,191.8
1500,50,201.9
1500,40,219.7
1500,30,249.0
1500,20,314.6
1500,10,495.5
1400,100,173.4
1400,90,174.4
1400,80,177.7
1400,70,180.2
1400,60,185.4
1400,50,199.8
1400,40,214.6
1400,30,236.5
1400,20,287.4
1400,10,441.6
1300,100,173.4
1300,90,177.5
1300,80,174.6
1300,70,177.2
1300,60,184.5
1300,50,195.8
1300,40,207.7
1300,30,234.6
1300,20,280.1
1300,10,421.3
1200,100,170.5
1200,90,171.6
1200,80,173.3
1200,70,174.8
1200,60,182.5
1200,50,189.3
1200,40,202.1
1200,30,223.5
1200,20,268.5
1200,10,407.6
1100,100,170.5
1100,90,168.2
1100,80,169.0
1100,70,171.2
1100,60,177.6
1100,50,185.4
1100,40,199.0
1100,30,220.0
1100,20,266.1
1100,10,403.0
1000,100,171.7
1000,90,168.8
1000,80,168.5
1000,70,173.3
1000,60,178.7
1000,50,185.2
1000,40,195.3
1000,30,217.1
1000,20,261.5
1000,10,386.9
