xsp,ylp,metric,bucket
1100,90,168.2,<200
1000,80,168.5,<200
1000,90,168.8,<200
1100,80,169.0,<200
1100,100,170.5,<200
1200,100,170.5,<200
1100,70,171.2,<200
1200,90,171.6,<200
1000,100,171.7,<200
1200,80,173.3,<200
1000,70,173.3,<200
1300,100,173.4,<200
1400,100,173.4,<200
1500,100,173.9,<200
1400,90,174.4,<200
1300,80,174.6,<200
1200,70,174.8,<200
1500,90,174.9,<200
1600,90,177.0,<200
1300,70,177.2,<200
1600,100,177.2,<200
1300,90,177.5,<200
1700,100,177.6,<200
1100,60,177.6,<200
1400,80,177.7,<200
1700,90,178.3,<200
1800,100,178.3,<200
1000,60,178.7,<200
1500,80,178.7,<200
1600,80,180.0,<200
1400,70,180.2,<200
1900,100,180.9,<200
1800,90,182.3,<200
1200,60,182.5,<200
1500,70,183.4,<200
1600,70,183.7,<200
1900,90,183.9,<200
1700,80,184.4,<200
1300,60,184.5,<200
1800,80,185.1,<200
1000,50,185.2,<200
1100,50,185.4,<200
1400,60,185.4,<200
1900,80,186.8,<200
2000,90,187.2,<200
1700,70,188.2,<200
2000,100,188.5,<200
1200,50,189.3,<200
2100,100,190.5,<200
1800,70,191.7,<200
1500,60,191.8,<200
1700,60,192.7,<200
1900,70,194.0,<200
1600,60,194.6,<200
1000,40,195.3,<200
2000,80,195.3,<200
1300,50,195.8,<200
2100,90,197.4,<200
2100,80,198.4,<200
1800,60,198.9,<200
1100,40,199.0,<200
1400,50,199.8,<200
1500,50,201.9,200-299
1200,40,202.1,200-299
1900,60,202.2,200-299
2100,70,202.4,200-299
2000,70,204.2,200-299
1300,40,207.7,200-299
1600,50,208.0,200-299
1700,50,208.0,200-299
2100,60,214.5,200-299
1400,40,214.6,200-299
2000,60,215.4,200-299
1800,50,216.8,200-299
1000,30,217.1,200-299
1900,50,217.9,200-299
1500,40,219.7,200-299
1100,30,220.0,200-299
1200,30,223.5,200-299
1600,40,225.9,200-299
2000,50,226.1,200-299
1700,40,227.6,200-299
1300,30,234.6,200-299
1400,30,236.5,200-299
2100,50,242.9,200-299
1500,30,249.0,200-299
1900,40,249.9,200-299
1800,40,250.4,200-299
1700,30,259.3,200-299
1600,30,260.0,200-299
1000,20,261.5,200-299
2000,40,263.5,200-299
1100,20,266.1,200-299
1200,20,268.5,200-299
1300,20,280.1,200-299
2100,30,285.8,200-299
1400,20,287.4,200-299
2100,40,293.1,200-299
1800,30,297.5,200-299
2000,30,303.7,300-399
1500,20,314.6,300-399
1900,30,315.2,300-399
1600,20,321.6,300-399
1700,20,340.3,300-399
1800,20,358.7,300-399
2100,20,363.6,300-399
2000,20,384.8,300-399
1000,10,386.9,300-399
1100,10,403.0,400-499
1200,10,407.6,400-499
1300,10,421.3,400-499
1900,20,425.4,400-499
1400,10,441.6,400-499
1800,10,483.9,400-499
1500,10,495.5,400-499
1600,10,498.8,400-499
1700,10,515.6,500-600
1900,10,521.7,500-600
2000,10,546.2,500-600
2100,10,570.4,500-600
